country,dir,time,number
Vietnam,Export,7/1/2020,69791.57645
Vietnam,Export,8/1/2020,69024.98532
Vietnam,Export,9/1/2020,75698.56995
Vietnam,Export,10/1/2020,74786.40017
Vietnam,Export,11/1/2020,81399.89503
Vietnam,Export,12/1/2020,85679.46411
Vietnam,Export,1/1/2021,82124.34696
Vietnam,Export,2/1/2021,47841.37448
Vietnam,Export,3/1/2021,78572.67277
Taiwan,Export,6/1/2020,0.00001
Taiwan,Export,7/1/2020,35246.89919
Taiwan,Export,8/1/2020,37426.834
Taiwan,Export,9/1/2020,36858.36263
Taiwan,Export,10/1/2020,35143.18017
Taiwan,Export,11/1/2020,38658.13605
Taiwan,Export,12/1/2020,40723.36323
Taiwan,Export,1/1/2021,42531.33824
Taiwan,Export,2/1/2021,29132.29433
Taiwan,Export,3/1/2021,39496.07061
East Timor,Export,6/1/2020,136.587954
East Timor,Export,7/1/2020,172.450098
East Timor,Export,8/1/2020,133.281054
East Timor,Export,9/1/2020,141.855078
East Timor,Export,10/1/2020,154.717773
East Timor,Export,11/1/2020,136.945564
East Timor,Export,12/1/2020,116.590621
East Timor,Export,1/1/2021,128.345049
East Timor,Export,2/1/2021,66.642437
East Timor,Export,3/1/2021,78.230779
Kazakhstan,Export,6/1/2020,6825.049179
Kazakhstan,Export,7/1/2020,9058.447555
Kazakhstan,Export,8/1/2020,7137.983228
Kazakhstan,Export,9/1/2020,10749.27357
Kazakhstan,Export,10/1/2020,11580.54277
Kazakhstan,Export,11/1/2020,8073.825185
Kazakhstan,Export,12/1/2020,5924.059652
Kazakhstan,Export,1/1/2021,7069.932374
Kazakhstan,Export,2/1/2021,5200.728354
Kazakhstan,Export,3/1/2021,7489.153656
Kyrgyzstan,Export,6/1/2020,2022.328509
Kyrgyzstan,Export,7/1/2020,3418.00232
Kyrgyzstan,Export,8/1/2020,1647.680478
Kyrgyzstan,Export,9/1/2020,3971.234773
Kyrgyzstan,Export,10/1/2020,1209.690077
Kyrgyzstan,Export,11/1/2020,928.853982
Kyrgyzstan,Export,12/1/2020,1078.290772
